premium,name,department,has_test,response_letter_required,area,address,employer,snippet,schedule,working_time_intervals,accept_temporary,professional_roles,experience,employment,key_skills,average_salary,min_salary,max_salary,hours_since_publication
False,Software Engineer (команда Поиска),Купер Разработка,False,False,Москва,,Купер,"{'requirement': 'Разрабатываешь на Go от 4х лет. Имеешь алгоритмическую подготовку. Имеешь опыт разработки высоконагруженных приложений. Понимаешь принципы микросервисной архитектуры.', 'responsibility': 'Работать с Elasticsearch (создавать/оптимизировать запросы, оптимизировать хранение и индексацию данных). Разрабатывать компоненты для встраивания <highlighttext>ml</highlighttext> пайплайна в поиск (докатка...'}",Удаленная работа,,False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,"['Golang', 'Go', 'Kafka', 'PostgreSQL', 'SQL', 'Elasticsearch', 'Clickhouse', 'Microservices', 'CI/CD']",,,,507
False,Middle Data Scientist / Machine Learning Engineer (Classic ML/NLP),,True,False,Москва,"{'city': 'Москва', 'street': 'Большой Кисловский переулок', 'building': '13', 'lat': 55.755333, 'lng': 37.606397, 'description': None, 'raw': 'Москва, Большой Кисловский переулок, 13', 'metro': {'station_name': 'Охотный ряд', 'line_name': 'Сокольническая', 'station_id': '1.98', 'line_id': '1', 'lat': 55.757228, 'lng': 37.615078}, 'metro_stations': [{'station_name': 'Охотный ряд', 'line_name': 'Сокольническая', 'station_id': '1.98', 'line_id': '1', 'lat': 55.757228, 'lng': 37.615078}], 'id': '14026'}",Московская Биржа,"{'requirement': 'Высшее образование в области машинного обучения, статистики, математики, экономики. Глубокое понимание и практический опыт применения классических методов машинного обучения. ', 'responsibility': 'Мы храним в депозитарии цифровые записи о каждом активе, который торгуется на бирже. Мы следим за тем, чтобы все операции...'}",Полный день,,False,Дата-сайентист,От 3 до 6 лет,Полная занятость,"['Python', 'PyTorch', 'Scikit-learn', 'SQL', 'Apache Airflow', 'MLflow']",,,,481
False,Senior ML-инженер в команду «Матчинг»,,False,False,Москва,"{'city': 'Москва', 'street': 'улица Авиаконструктора Микояна', 'building': '12', 'lat': 55.792589, 'lng': 37.527588, 'description': None, 'raw': 'Москва, улица Авиаконструктора Микояна, 12', 'metro': {'station_name': 'Аэропорт', 'line_name': 'Замоскворецкая', 'station_id': '2.12', 'line_id': '2', 'lat': 55.800441, 'lng': 37.530477}, 'metro_stations': [{'station_name': 'Аэропорт', 'line_name': 'Замоскворецкая', 'station_id': '2.12', 'line_id': '2', 'lat': 55.800441, 'lng': 37.530477}], 'id': '355947'}",Профи (profi.ru),"{'requirement': 'Опыт разработки на Python от четырёх лет. Идеально, если есть опыт работы с бэкендом. Знание основ Computer Science: структуры данных...', 'responsibility': 'Помогать другим продуктовым командам решать проблемы с помощью <highlighttext>ML</highlighttext>. Например: Антифрод во всех его проявлениях. Определение причины обращений в поддержку. '}",Полный день,,False,Дата-сайентист,Более 6 лет,Полная занятость,"['SQL', 'Python']",,,,130
False,Data Scientist,Сбер для экспертов,False,False,Москва,,СБЕР,"{'requirement': 'Опыт работы c llm-моделями (промтинг, rag-механика, fine tune). Опыт разработки <highlighttext>ml</highlighttext>-моделей. Опыт работы с базами (векторная, реляционная). ', 'responsibility': 'Изучение области применения разрабатываемого инструмента, обработка и подготовка данных для разработки. Разработка <highlighttext>ml</highlighttext>-моделей и llm-приложений. Участие во внедрении...'}",Полный день,,False,Аналитик,От 3 до 6 лет,Полная занятость,[],,,,464
False,Senior AQA Engineer (LLM/NLP),,False,False,Москва,"{'city': 'Москва', 'street': 'Электрозаводская улица', 'building': '27с8', 'lat': 55.791582, 'lng': 37.705607, 'description': None, 'raw': 'Москва, Электрозаводская улица, 27с8', 'metro': {'station_name': 'Преображенская площадь', 'line_name': 'Сокольническая', 'station_id': '1.117', 'line_id': '1', 'lat': 55.796322, 'lng': 37.713582}, 'metro_stations': [{'station_name': 'Преображенская площадь', 'line_name': 'Сокольническая', 'station_id': '1.117', 'line_id': '1', 'lat': 55.796322, 'lng': 37.713582}], 'id': '726923'}",Циан,"{'requirement': 'Понимание какие подходы в обеспечении качества дадут лучший эффект для различных <highlighttext>ML</highlighttext> моделей. Понимание особенностей тестирования web на различных платформах...', 'responsibility': 'Тестирование <highlighttext>ML</highlighttext>-моделей в домене LLM/NLP. Внедрение процессов обеспечения качества в сфере разработки <highlighttext>ML</highlighttext> продуктов команды. Формирование необходимого набора...'}",Полный день,,False,Тестировщик,От 3 до 6 лет,Полная занятость,"['QA', 'ML', 'LLM', 'NLP', 'AQA', 'Python']",,,,317
False,MLOps-инженер (Центр исследований и аналитики),Сбер для экспертов,False,False,Москва,,СБЕР,"{'requirement': 'Высшее техническое образование. Опыт работы MLOps/<highlighttext>ML</highlighttext>-Engineer/DevOps от 1 года. Опыт работы с GreenPlum / PostgreSQL. Знание Linux на...', 'responsibility': '...pandas, psycopg2 + <highlighttext>ML</highlighttext> libs. Bash. Jira/Confluence. Внедрение моделей машинного обучения. Разработка и внедрение <highlighttext>ML</highlighttext>-сервисы на основе...'}",Полный день,,False,Аналитик,От 1 года до 3 лет,Полная занятость,[],,,,103
False,Site Reliability Engineer (SRE),,False,False,Москва,,Т-Банк,"{'requirement': 'Разделяете принцип проактивности: лучше предотвратить сбой, чем потом его устранять. Понимаете принципы построения CI/CD-пайплайнов и IaC-подхода.', 'responsibility': 'Разрабатывать инструменты для повышения надежности информационных систем. Участвовать в устранении сбоев и расследовании их причин. Повышать Observability приложений. '}",Полный день,,False,DevOps-инженер,От 3 до 6 лет,Полная занятость,"['Docker', 'Kubernetes', 'Python', 'Golang', 'Ansible', 'GitLab CI', 'Gitlab', 'VMware', 'OpenStack', 'Grafana', 'Prometheus', 'Zabbix']",,,,24
False,AQA-engineer Senior,,False,False,Москва,,WMT,"{'requirement': 'Опыт работы в автоматизации тестирования от 5 лет. Опыт написания автотестов на Java. Знание и опыт работы с JS. ', 'responsibility': None}",Полный день,,False,Тестировщик,От 3 до 6 лет,Полная занятость,"['Java', 'Kubernetes', 'k8s', 'CI/CD', 'Jenkins', 'PostgreSQL', 'Agile', 'JavaScript']",,,,308
False,ML-инженер,,False,False,Волгоград,,Т-Банк,"{'requirement': 'Опыт разработки моделей машинного обучения с использованием современных DL фреймворков (Tensorflow, Pytorch, Keras, etc) и применения их в продакшене. ', 'responsibility': 'Речевые технологии. Автоматизируем голосовое общение между бизнесом и клиентами. <highlighttext>ML</highlighttext>-антифрод. С помощью алгоритмов оберегаем пользователей от мошенников, оперативно замечая...'}",Полный день,,False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,"['Python', 'Git', 'Linux', 'Bash']",,,,371
False,ML инженер в IT-продукты,,False,False,Владивосток,"{'city': 'Владивосток', 'street': 'Океанский проспект', 'building': '17', 'lat': 43.119543, 'lng': 131.8865, 'description': None, 'raw': 'Владивосток, Океанский проспект, 17', 'metro': None, 'metro_stations': [], 'id': '15960730'}",Т-Банк,"{'requirement': 'У вас есть опыт разработки и применения в продакшене <highlighttext>ML</highlighttext>-моделей от 2 лет, с использованием современных DL-фреймворков: Pytorch...', 'responsibility': 'Вести исследования и разработку в области применения AI-технологий в ИT, изучать передовые технологии и предлагать идеи по применению AI...'}",Удаленная работа,,False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,"['Python', 'Deep Learning', 'NLP', 'Classical ML', 'Computer Vision', 'Research', 'Research And Development', 'Machine learning']",,,,148
False,Ведущий Data Scientist в команду DS SWAT,АВИТО ТЕХ: разработка,False,False,Москва,"{'city': 'Москва', 'street': 'Лесная улица', 'building': '7', 'lat': 55.778669, 'lng': 37.587964, 'description': None, 'raw': 'Москва, Лесная улица, 7', 'metro': {'station_name': 'Белорусская', 'line_name': 'Кольцевая', 'station_id': '5.20', 'line_id': '5', 'lat': 55.775179, 'lng': 37.582303}, 'metro_stations': [{'station_name': 'Белорусская', 'line_name': 'Кольцевая', 'station_id': '5.20', 'line_id': '5', 'lat': 55.775179, 'lng': 37.582303}], 'id': '6969033'}",АВИТО ТЕХ,"{'requirement': 'имеете опыт разработки и эксплуатации продакшен-систем с <highlighttext>ML</highlighttext>-моделями. — работали с микросервисами на Python, Docker’ом, SQL- и noSQL...', 'responsibility': 'Команда DS SWAT долгое время была классическим <highlighttext>ML</highlighttext>-десантом, решающим проблемы разных бизнес-подразделений. Со временем в команде сформировались выделенные...'}",Полный день,,False,Дата-сайентист,Более 6 лет,Полная занятость,[],,,,170
False,Python Developer ML Team,,False,False,Тбилиси,"{'city': 'Тбилиси', 'street': 'улица Жиули Шартава', 'building': '31/33', 'lat': 41.728193, 'lng': 44.772941, 'description': None, 'raw': 'Тбилиси, улица Жиули Шартава, 31/33', 'metro': None, 'metro_stations': [], 'id': '15096023'}",TradingView,"{'requirement': 'Опыт мониторинга нагруженных production систем. Опыт разработки <highlighttext>ML</highlighttext>-систем. Опыт дообучения моделей BERT, T5, LLM. Опыт проектирования и разработки...', 'responsibility': 'Разрабатывать новый функционал и интегрировать в существующие <highlighttext>ML</highlighttext>-сервисы. Проектировать и реализовывать новые сервисы. Развитие существующих систем (RecSys, SpamDetect, NLP...'}",Полный день,,False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,"['Python', 'Проектирование высоконагруженных систем', 'ML', 'Docker', 'Kubernetes']",,,,512
False,ML engineer,Сбер. IT,False,False,Москва,,СБЕР,"{'requirement': 'Знание и опыт с python. На ""ты"" с командной строкой, git, ssh, pip, conda, Jupyter Lab. Классическое машинное обучение (существующие...', 'responsibility': 'Поддержка существующих моделей и кода текущего виртуального ассистента. Создание с нуля новых моделей, включая организацию подготовки данных, обучения и тестирования. '}",Полный день,,False,Дата-сайентист,От 3 до 6 лет,Полная занятость,[],,,,336
